N,time
68600,1.82693e+06
68700,1.87685e+06
68800,1.83156e+06
68900,1.83401e+06
69000,1.81541e+06
69100,1.87812e+06
69200,1.84955e+06
69300,1.82585e+06
69400,1.83992e+06
69500,1.8463e+06
69600,1.83085e+06
69700,1.85693e+06
69800,1.8893e+06
69900,1.88035e+06
70000,1.88641e+06
70100,1.84148e+06
70200,1.86413e+06
70300,1.865e+06
70400,1.8494e+06
70500,1.87026e+06
70600,1.88279e+06
70700,1.85886e+06
70800,1.89221e+06
70900,1.90827e+06
71000,1.86475e+06
71100,1.88785e+06
71200,1.86976e+06
71300,1.88454e+06
71400,1.88533e+06
71500,1.8761e+06
71600,1.8923e+06
71700,1.88517e+06
71800,2.01764e+06
71900,1.97755e+06
72000,1.90897e+06
72100,1.96436e+06
72200,1.97471e+06
72300,1.92323e+06
72400,1.91357e+06
72500,2.01707e+06
72600,1.93028e+06
72700,1.91612e+06
72800,1.92656e+06
72900,1.93103e+06
73000,1.97721e+06
73100,1.97215e+06
73200,1.93834e+06
73300,1.94145e+06
73400,1.945e+06
73500,1.93643e+06
73600,1.94465e+06
73700,1.93601e+06
73800,2.1717e+06
73900,1.95869e+06
74000,1.94506e+06
74100,1.97093e+06
74200,1.95501e+06
74300,2.00774e+06
74400,1.97743e+06
74500,1.95292e+06
74600,1.96859e+06
74700,1.96142e+06
74800,1.96022e+06
74900,1.98665e+06
75000,2.01283e+06
75100,1.9854e+06
75200,1.9896e+06
75300,1.97614e+06
75400,1.99714e+06
75500,1.98102e+06
75600,1.99243e+06
75700,1.99983e+06
75800,1.98764e+06
75900,2.00911e+06
76000,2.32033e+06
76100,2.00338e+06
76200,2.00961e+06
76300,2.00256e+06
76400,2.02326e+06
76500,2.00894e+06
76600,2.01657e+06
76700,2.02317e+06
76800,2.01773e+06
76900,2.05371e+06
77000,2.04298e+06
77100,2.03339e+06
77200,2.02892e+06
77300,2.02936e+06
77400,2.03497e+06
77500,2.08779e+06
77600,2.05092e+06
77700,2.04305e+06
77800,2.05539e+06
77900,2.09603e+06
78000,2.11574e+06
78100,2.0731e+06
78200,2.0512e+06
78300,2.0674e+06
78400,2.10132e+06
78500,2.06774e+06
78600,2.07336e+06
78700,2.10559e+06
78800,2.10039e+06
78900,2.55165e+06
79000,2.13302e+06
79100,2.06888e+06
79200,2.0876e+06
79300,2.07872e+06
79400,2.07785e+06
79500,2.09119e+06
79600,2.08466e+06
79700,2.14523e+06
79800,2.14148e+06
79900,2.08958e+06
80000,2.11302e+06
80100,2.09348e+06
80200,2.11406e+06
80300,2.10083e+06
80400,2.15503e+06
80500,2.127e+06
80600,2.11879e+06
80700,2.13488e+06
80800,2.29838e+06
80900,2.12689e+06
81000,2.31343e+06
81100,2.13394e+06
81200,2.12973e+06
81300,2.12868e+06
81400,2.13905e+06
81500,2.14938e+06
81600,2.20521e+06
81700,2.31527e+06
81800,2.24186e+06
81900,2.21339e+06
82000,2.21468e+06
82100,2.20408e+06
82200,2.22171e+06
82300,2.37508e+06
82400,2.44613e+06
82500,2.25999e+06
82600,2.26955e+06
82700,2.91765e+06
82800,2.6678e+06
82900,2.22808e+06
83000,2.24653e+06
83100,2.27762e+06
83200,2.56633e+06
83300,2.32793e+06
83400,2.23845e+06
83500,2.25806e+06
83600,2.24472e+06
83700,2.26112e+06
83800,2.24466e+06
83900,2.31633e+06
84000,2.25308e+06
84100,2.30306e+06
84200,2.35006e+06
84300,2.28665e+06
84400,2.28237e+06
84500,2.27892e+06
84600,2.27849e+06
84700,2.27532e+06
84800,2.28425e+06
84900,2.27752e+06
85000,2.3149e+06
85100,2.47481e+06
85200,2.28918e+06
85300,2.64324e+06
85400,2.29532e+06
85500,2.29805e+06
85600,2.30191e+06
85700,2.29983e+06
85800,2.31034e+06
85900,2.37024e+06
86000,2.32524e+06
86100,2.30763e+06
86200,2.33044e+06
86300,2.35359e+06
86400,2.3594e+06
86500,2.31671e+06
86600,2.40095e+06
86700,2.37071e+06
86800,2.41512e+06
86900,2.65748e+06
87000,2.36656e+06
87100,2.33758e+06
87200,2.35375e+06
87300,2.33704e+06
87400,2.4096e+06
87500,2.68443e+06
87600,2.35392e+06
87700,2.35046e+06
87800,2.47508e+06
87900,2.43048e+06
88000,2.36284e+06
88100,2.54511e+06
88200,2.36784e+06
88300,2.37413e+06
88400,2.43281e+06
88500,2.38847e+06
88600,2.37834e+06
88700,2.38074e+06
88800,2.37853e+06
88900,2.38426e+06
89000,2.39361e+06
89100,2.38672e+06
89200,2.39716e+06
89300,2.3883e+06
89400,2.49192e+06
89500,2.3976e+06
89600,2.40438e+06
89700,2.40276e+06
89800,2.41152e+06
89900,2.408e+06
90000,2.42631e+06
90100,2.41479e+06
90200,2.41907e+06
90300,2.41925e+06
90400,2.47042e+06
90500,2.44614e+06
90600,2.42591e+06
90700,2.44551e+06
90800,2.47316e+06
90900,2.49283e+06
91000,2.45205e+06
91100,2.47751e+06
91200,2.43991e+06
91300,2.46436e+06
91400,2.46281e+06
91500,2.63864e+06
91600,2.72223e+06
91700,2.51947e+06
91800,2.47455e+06
91900,2.56455e+06
92000,2.7529e+06
92100,2.80094e+06
92200,2.69945e+06
92300,3.02422e+06
92400,2.6878e+06
92500,2.53803e+06
92600,2.73821e+06
92700,2.57571e+06
92800,2.5871e+06
92900,2.57456e+06
93000,2.75219e+06
93100,2.49119e+06
93200,2.50806e+06
93300,2.4981e+06
93400,2.56903e+06
93500,2.78636e+06
93600,2.62055e+06
93700,2.5942e+06
93800,2.82224e+06
93900,2.55058e+06
94000,2.73262e+06
94100,2.76732e+06
94200,2.83986e+06
94300,2.74137e+06
94400,3.05078e+06
94500,2.77015e+06
94600,2.95883e+06
94700,2.77886e+06
94800,2.79332e+06
94900,2.82369e+06
95000,2.668e+06
95100,2.5692e+06
95200,2.64542e+06
95300,2.81571e+06
95400,2.55946e+06
95500,2.55217e+06
95600,2.55292e+06
95700,2.55262e+06
95800,2.58582e+06
95900,2.57154e+06
96000,2.60283e+06
96100,2.57193e+06
96200,3.44136e+06
96300,2.75412e+06
96400,2.64618e+06
96500,2.9451e+06
96600,2.61206e+06
96700,2.62977e+06
96800,2.81399e+06
96900,2.71787e+06
97000,2.92259e+06
97100,2.71257e+06
97200,2.68583e+06
97300,2.71131e+06
97400,2.89028e+06
97500,2.79494e+06
97600,3.08481e+06
97700,2.87879e+06
97800,2.64324e+06
97900,2.83736e+06
98000,2.81291e+06
98100,3.11037e+06
98200,2.63979e+06
98300,2.86474e+06
98400,2.64384e+06
98500,2.6406e+06
98600,2.76386e+06
98700,2.75588e+06
98800,2.92771e+06
98900,3.46338e+06
99000,3.30207e+06
99100,2.98495e+06
99200,2.77823e+06
99300,2.6904e+06
99400,2.72741e+06
99500,2.96381e+06
99600,3.14547e+06
99700,2.91749e+06
99800,2.88388e+06
99900,2.77888e+06
