N,time
60900,1.54752e+06
61000,1.55004e+06
61100,1.49614e+06
61200,1.47817e+06
61300,1.78494e+06
61400,2.62722e+06
61500,1.61999e+06
61600,1.62814e+06
61700,1.6961e+06
61800,1.57257e+06
61900,1.63476e+06
62000,1.56418e+06
62100,1.51393e+06
62200,1.50731e+06
62300,1.55775e+06
62400,1.51085e+06
62500,1.61634e+06
62600,1.87328e+06
62700,1.51735e+06
62800,1.53067e+06
62900,1.69226e+06
63000,1.87345e+06
63100,2.04904e+06
63200,1.9369e+06
63300,1.9087e+06
63400,1.76928e+06
63500,1.59118e+06
63600,1.59133e+06
63700,1.64354e+06
63800,1.57003e+06
63900,1.59443e+06
64000,1.67147e+06
64100,1.60352e+06
64200,1.6487e+06
64300,2.17676e+06
64400,1.95249e+06
64500,1.67422e+06
64600,1.62442e+06
64700,1.64528e+06
64800,1.86978e+06
64900,1.8432e+06
65000,1.6172e+06
65100,1.64613e+06
65200,1.65261e+06
65300,1.63933e+06
65400,1.67767e+06
65500,1.67244e+06
65600,1.64982e+06
65700,1.68303e+06
65800,1.74267e+06
65900,1.82741e+06
66000,2.00526e+06
66100,1.6769e+06
66200,1.85009e+06
66300,1.76341e+06
66400,1.72164e+06
66500,1.67376e+06
66600,2.23449e+06
66700,1.92789e+06
66800,1.6787e+06
66900,1.62786e+06
67000,1.62588e+06
67100,1.69822e+06
67200,1.92672e+06
67300,1.6648e+06
67400,1.69411e+06
67500,1.66067e+06
67600,1.74566e+06
67700,1.76866e+06
67800,1.73337e+06
67900,1.7297e+06
68000,1.67668e+06
68100,1.64834e+06
68200,1.66055e+06
68300,1.72685e+06
68400,1.66264e+06
68500,1.66564e+06
68600,1.67202e+06
68700,1.7e+06
68800,2.0115e+06
68900,1.76002e+06
69000,1.69068e+06
69100,1.73669e+06
69200,1.67469e+06
69300,1.67976e+06
69400,1.68472e+06
69500,1.71838e+06
69600,1.68388e+06
69700,1.6986e+06
69800,1.68516e+06
69900,1.6873e+06
70000,1.76091e+06
70100,1.73374e+06
70200,1.69566e+06
70300,1.71787e+06
70400,1.69835e+06
70500,1.70281e+06
70600,1.73856e+06
70700,1.90816e+06
70800,1.7135e+06
70900,1.71016e+06
71000,1.70854e+06
71100,1.72622e+06
71200,1.71508e+06
71300,1.71727e+06
71400,1.72908e+06
71500,1.77098e+06
71600,1.72694e+06
71700,1.78006e+06
71800,1.73238e+06
71900,1.73207e+06
72000,1.93721e+06
72100,1.73821e+06
72200,1.73956e+06
72300,1.7476e+06
72400,1.74388e+06
72500,1.80321e+06
72600,1.7643e+06
72700,1.7638e+06
72800,1.77166e+06
72900,1.80567e+06
73000,1.75996e+06
73100,1.78625e+06
73200,1.76927e+06
73300,1.76689e+06
73400,1.82087e+06
73500,1.7738e+06
73600,1.78211e+06
73700,1.78188e+06
73800,1.77687e+06
73900,1.88055e+06
74000,1.7838e+06
74100,1.7928e+06
74200,1.79586e+06
74300,1.78838e+06
74400,1.79201e+06
74500,1.80018e+06
74600,1.79554e+06
74700,1.80045e+06
74800,1.85223e+06
74900,1.805e+06
75000,1.84814e+06
75100,1.84958e+06
75200,1.81034e+06
75300,1.82895e+06
75400,1.82618e+06
75500,1.82067e+06
75600,1.8298e+06
75700,2.05286e+06
75800,1.87744e+06
75900,1.82644e+06
76000,1.82731e+06
76100,1.83856e+06
76200,1.83376e+06
76300,1.83369e+06
76400,1.84688e+06
76500,1.84191e+06
76600,1.84796e+06
76700,1.84629e+06
76800,2.33689e+06
76900,1.85766e+06
77000,1.8508e+06
77100,1.8547e+06
77200,1.85996e+06
77300,2.05421e+06
77400,1.86862e+06
77500,2.0539e+06
77600,1.86476e+06
77700,1.87469e+06
77800,1.87309e+06
77900,1.88023e+06
78000,1.88201e+06
78100,1.87767e+06
78200,1.89115e+06
78300,2.10382e+06
78400,1.88867e+06
78500,1.89042e+06
78600,1.88842e+06
78700,1.89805e+06
78800,1.9378e+06
78900,1.93764e+06
79000,1.90843e+06
79100,1.90114e+06
79200,1.91116e+06
79300,1.96656e+06
79400,2.00003e+06
79500,1.94562e+06
79600,1.91604e+06
79700,1.93835e+06
79800,1.92842e+06
79900,1.92192e+06
80000,1.9379e+06
80100,2.52774e+06
80200,1.93784e+06
80300,1.93169e+06
80400,2.22067e+06
80500,1.95903e+06
80600,1.93762e+06
80700,1.9539e+06
80800,1.94656e+06
80900,2.21347e+06
81000,1.97438e+06
81100,1.95038e+06
81200,1.96774e+06
81300,1.98794e+06
81400,1.97958e+06
81500,1.98185e+06
81600,2.01514e+06
81700,2.0222e+06
81800,2.01806e+06
81900,2.02411e+06
